策略,全量,全量pct,Qdn,Qdpct,Qen,Qepct,Qifn,Qifpct,Qicn,Qicpct,Qimitn,Qimitpct,Qinn,Qinpct,Qstn,Qstpct
上3+层主,2306495,0.37060431520553916,298245.0,0.13233415480561284,208634.0,0.1657064524478273,149078.0,0.39946873448798614,224635.0,0.43195851047254435,960895.0,0.43863377372137435,377920.0,0.4310356689246401,87088.0,0.45694010655888295
基准-Qin,3649035,0.36977995552248744,,,,,,,,,,,,,,
下4+层主,18629,0.3675989049331687,1328.0,0.12123493975903614,1085.0,0.14746543778801843,1187.0,0.38247683235046337,1953.0,0.4009216589861751,8789.0,0.4083513482762544,3560.0,0.398876404494382,727.0,0.38651994497936726
下4+层主+升排,7358,0.3621908127208481,390.0,0.12564102564102564,436.0,0.16055045871559634,480.0,0.375,763.0,0.399737876802097,3539.0,0.38909296411415656,1430.0,0.3972027972027972,320.0,0.3625
基准-Qic,1953575,0.36067005361964605,,,,,,,,,,,,,,
下1+层主,565801,0.3600205726041488,55699.0,0.14975134203486598,39485.0,0.15324806888691908,36579.0,0.3613548757483802,56580.0,0.39938140685754686,255645.0,0.4086878288251286,99203.0,0.39960485065975826,22610.0,0.41450685537372844
基准-Qif,1229334,0.3304447774160643,,,,,,,,,,,,,,
基准-全样本,20102384,0.3297801395098213,,,,,,,,,,,,,,
下1+层主+升排,11474,0.30791354366393586,517.0,0.11411992263056092,1140.0,0.07456140350877193,928.0,0.3103448275862069,1193.0,0.3512154233025985,5119.0,0.35924985348700916,2067.0,0.32946298984034833,510.0,0.3176470588235294
基准-Qe,1441014,0.15131011912444986,,,,,,,,,,,,,,
基准-Qd,1920167,0.1325483668868385,,,,,,,,,,,,,,
