DXEF,DXCD,DXAB,样本,→ZE>0,→ZE>0+ZC>0,→ZE>0+ZC>0+ZA>0,下日DSHA>0,下日DSHA>1,下日DSHA>3,均HR,中位HR
屎,中,下,5839,11.2,8.6,6.6,37.6,15.4,4.0,1.5,1.02
屎,中,忐,4368,48.9,35.4,35.4,97.0,81.5,29.6,1.47,0.89
屎,中,忠,8189,31.4,21.7,21.7,95.2,70.7,20.7,1.45,0.9
屎,中,忑,29475,11.6,9.3,8.6,63.0,29.8,6.7,1.48,1.03
屎,下,上,567,33.5,18.2,18.2,82.0,48.0,9.3,1.07,0.59
屎,下,中,234,24.4,17.9,17.5,68.4,32.1,7.7,1.31,0.85
屎,下,下,6911,6.9,5.3,4.4,33.7,12.6,3.1,1.41,0.96
屎,下,忐,6053,38.1,20.9,20.9,97.4,82.9,30.2,1.5,0.89
屎,下,忠,30181,15.8,7.0,7.0,96.8,73.1,20.3,1.44,0.9
屎,下,忑,262425,2.6,1.4,1.4,45.5,20.3,4.3,1.45,1.06
屎,忐,上,840612,33.7,33.6,33.0,98.6,88.1,44.4,1.89,1.12
屎,忐,中,91467,8.9,8.9,7.1,76.6,38.8,9.0,1.72,1.2
屎,忐,下,23043,3.8,3.8,3.4,58.1,27.0,6.3,1.69,1.17
屎,忐,忐,17842,26.7,26.5,26.5,98.7,91.7,48.8,1.87,1.08
屎,忐,忠,1052,6.3,6.3,6.2,97.1,72.0,22.6,1.63,1.03
屎,忐,忑,2642,3.1,3.1,3.1,85.5,49.4,11.7,1.55,1.02
屎,忠,上,761773,1.9,1.9,1.9,98.1,84.1,35.1,1.69,1.06
屎,忠,中,122721,1.0,1.0,1.0,77.5,38.6,8.5,1.64,1.13
屎,忠,下,58732,0.9,0.9,0.9,58.9,26.7,6.2,1.63,1.13
屎,忠,忐,64561,5.4,5.3,5.3,98.8,91.6,47.7,1.82,1.06
屎,忠,忠,3729,1.7,1.7,1.7,96.4,71.1,20.1,1.53,0.98
屎,忠,忑,8504,1.4,1.3,1.3,83.6,47.1,11.3,1.53,1.01
屎,忑,上,260251,1.1,0.8,0.8,96.4,75.2,24.5,1.58,1.04
屎,忑,中,62595,0.8,0.6,0.6,79.8,40.3,8.3,1.6,1.11
