DXEF,DXCD,DXAB,样本,DSHR>0_全量,DSHR>0_Qd,DSHR>0_Qe,DSHR>0_Qif,DSHR>0_Qic,DSHR>0_Qimit,DSHR>0_Qin,DSHR>1_全量,DSHR>1_Qd,DSHR>1_Qe,DSHR>1_Qif,DSHR>1_Qic,DSHR>1_Qimit,DSHR>1_Qin,DSHR>2_全量,DSHR>2_Qd,DSHR>2_Qe,DSHR>2_Qif,DSHR>2_Qic,DSHR>2_Qimit,DSHR>2_Qin
尿,上,忠,225,80.9,90.0,55.6,80.0,84.2,89.0,84.2,44.0,22.5,20.0,60.0,63.2,57.5,55.3,26.2,15.0,8.9,20.0,47.4,35.6,31.6
尿,上,忑,272,86.8,92.0,57.1,94.1,100.0,90.3,84.7,53.3,20.0,14.3,58.8,52.6,67.7,54.2,28.7,8.0,0.0,23.5,26.3,38.7,32.2
尿,中,下,211,68.2,22.2,60.2,83.3,88.9,93.9,81.2,32.7,11.1,16.8,50.0,66.7,63.3,50.0,13.7,0.0,7.1,16.7,22.2,30.6,18.8
尿,中,忐,292,78.4,84.0,50.9,88.2,70.8,84.7,92.2,45.5,16.0,14.0,52.9,45.8,55.1,70.6,27.1,4.0,8.8,23.5,16.7,37.3,41.2
尿,中,忠,270,69.6,73.3,39.5,75.0,58.3,93.8,75.5,38.9,20.0,4.7,58.3,58.3,63.5,46.9,21.1,0.0,0.0,33.3,33.3,32.3,36.7
尿,中,忑,478,76.4,96.9,47.3,85.7,87.2,82.4,80.0,42.7,35.9,9.8,52.4,53.2,60.4,50.7,21.1,15.6,0.9,38.1,23.4,35.2,20.0
尿,下,下,643,71.4,79.4,62.2,80.8,86.2,80.4,77.6,38.4,44.1,15.9,50.0,75.9,61.3,61.8,23.3,20.6,9.5,30.8,41.4,38.7,39.5
尿,下,忐,755,82.8,80.0,71.3,83.3,88.7,84.6,87.8,50.6,21.8,26.4,54.8,64.2,58.8,58.3,29.4,3.6,8.5,33.3,39.6,35.0,40.3
尿,下,忠,3368,78.7,78.4,56.4,75.7,78.9,84.0,84.3,48.8,32.6,20.5,43.2,47.5,56.6,60.5,27.7,8.8,7.4,24.3,24.9,34.1,37.2
尿,下,忑,29453,82.7,81.7,70.1,80.2,84.6,85.2,85.0,54.1,36.4,26.5,54.8,56.8,60.2,62.5,31.2,14.5,11.1,31.4,32.3,35.7,38.8
尿,忐,上,95762,84.7,85.2,76.0,84.5,85.7,85.0,85.7,56.4,30.5,32.8,56.2,60.2,60.3,61.3,34.9,9.5,12.4,33.0,37.9,39.0,39.9
尿,忐,中,5585,87.6,88.3,80.1,84.9,87.5,88.4,87.8,60.0,43.9,30.1,55.4,63.0,63.4,62.4,35.0,18.6,12.5,29.7,37.0,37.9,37.9
尿,忐,下,1075,87.2,81.7,73.2,86.4,85.7,88.0,90.0,58.6,30.0,31.7,51.5,57.9,63.6,61.4,32.5,1.7,12.2,30.3,31.7,36.6,35.3
尿,忐,忐,2316,83.4,82.1,66.5,86.1,86.1,85.6,85.7,53.2,25.5,23.1,58.3,59.3,59.8,60.9,33.2,7.1,9.5,34.4,39.8,38.9,40.2
尿,忐,忑,149,84.6,100.0,25.0,80.0,65.4,92.2,88.9,55.0,55.6,25.0,80.0,38.5,62.7,55.6,34.2,11.1,0.0,60.0,26.9,45.1,31.5
尿,忠,上,161508,85.8,85.9,78.2,83.9,85.6,86.4,86.8,55.8,34.9,35.1,55.8,58.8,59.3,60.2,33.3,12.4,12.2,33.0,36.2,36.9,37.8
尿,忠,中,17852,87.9,90.0,76.2,85.0,86.5,88.8,88.9,59.1,44.8,28.7,58.3,61.2,62.3,62.8,34.4,19.3,10.9,33.8,35.1,38.1,37.1
尿,忠,下,5734,87.3,89.5,72.8,83.3,88.4,88.3,87.7,57.7,37.4,29.3,55.6,58.5,61.9,61.4,33.8,15.5,12.5,33.0,33.9,36.9,37.6
尿,忠,忐,11770,83.5,83.7,67.5,81.9,82.7,85.7,84.0,54.4,28.9,23.1,53.1,58.0,59.7,60.4,34.1,11.8,9.7,33.0,37.3,38.9,38.1
尿,忠,忠,385,84.4,77.4,63.6,83.3,91.1,87.1,86.5,51.2,35.5,24.2,50.0,51.1,56.7,56.8,27.8,12.9,0.0,29.2,31.1,30.9,36.5
尿,忠,忑,686,85.9,86.0,72.4,88.9,81.0,87.0,87.4,52.3,34.0,31.0,51.9,51.9,56.8,53.5,29.9,12.0,13.8,25.9,27.8,35.2,30.2
尿,忑,上,76788,85.7,84.4,74.2,82.5,85.3,86.9,87.5,55.2,34.8,29.8,53.2,57.6,59.2,59.6,32.4,13.8,10.7,31.3,34.2,35.9,36.2
尿,忑,中,14768,86.6,83.7,71.5,84.6,85.1,87.8,88.6,57.0,32.0,31.4,53.3,60.9,60.3,61.0,32.7,11.6,9.2,32.5,35.9,35.7,35.3
尿,忑,下,37734,85.8,84.3,75.7,82.6,86.5,86.9,87.6,55.9,38.6,28.9,52.9,58.4,59.6,61.0,31.5,10.8,9.7,29.7,33.7,35.0,36.6
尿,忑,忐,136083,83.9,80.9,72.7,81.9,83.8,85.3,85.4,54.0,31.9,30.0,53.5,56.1,58.0,59.3,32.5,11.2,11.8,31.1,34.4,36.4,37.4
尿,忑,忠,234528,83.7,80.1,74.9,80.6,83.3,85.2,85.5,53.4,32.3,31.0,52.4,55.9,57.5,58.8,31.6,11.9,12.4,31.0,33.9,35.2,36.7
尿,忑,忑,921600,85.2,82.4,78.4,82.8,84.8,86.4,86.1,57.2,42.1,38.3,55.1,58.3,60.2,60.8,33.9,19.5,17.5,32.4,34.8,36.5,37.5
